//Enregistrements de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type'enregistrant,Nombre'enregistrements
1897,"Italie","IT","NonRésident_direct",6
1897,"Japon","JP","Directs_globaux",60
1897,"Portugal","PT","Directs_globaux",167
1897,"Suisse","CH","Résident_direct",27700
1897,"Suisse","CH","NonRésident_direct",200
1897,"Royaume-Uni","GB","Directs_globaux",19140
1897,"États-Unis d'Amérique","US","Directs_globaux",1620
1898,"Autriche","AT","Directs_globaux",9871
1898,"Belgique","BE","Directs_globaux",203
1898,"Canada","CA","Directs_globaux",136
1898,"France","FR","Résident_direct",68240
1898,"France","FR","NonRésident_direct",1947
1898,"Allemagne","DE","Directs_globaux",131154
1898,"Italie","IT","Résident_direct",169
1898,"Italie","IT","NonRésident_direct",32
1898,"Japon","JP","Directs_globaux",52
1898,"Portugal","PT","Directs_globaux",49
1898,"Suisse","CH","Résident_direct",24774
1898,"Suisse","CH","NonRésident_direct",445
1898,"Royaume-Uni","GB","Directs_globaux",19171
1898,"États-Unis d'Amérique","US","Directs_globaux",1799
1899,"Autriche","AT","Directs_globaux",10622
1899,"Belgique","BE","Directs_globaux",200
1899,"Canada","CA","Directs_globaux",112
1899,"France","FR","Résident_direct",57216
1899,"France","FR","NonRésident_direct",1216
1899,"Allemagne","DE","Directs_globaux",123503
1899,"Italie","IT","Directs_globaux",62
1899,"Japon","JP","Directs_globaux",139
1899,"Nouvelle-Zélande","NZ","Directs_globaux",13
1899,"Portugal","PT","Directs_globaux",31
1899,"Suisse","CH","Résident_direct",35310
1899,"Suisse","CH","NonRésident_direct",195
1899,"Royaume-Uni","GB","Directs_globaux",18470
1899,"États-Unis d'Amérique","US","Directs_globaux",2137
1900,"Autriche","AT","Directs_globaux",10865
1900,"Belgique","BE","Directs_globaux",167
1900,"Canada","CA","Directs_globaux",126
1900,"France","FR","Résident_direct",50882
1900,"France","FR","NonRésident_direct",1129
1900,"Allemagne","DE","Directs_globaux",131666
1900,"Hongrie","HU","Résident_direct",102
1900,"Hongrie","HU","NonRésident_direct",24
1900,"Italie","IT","Directs_globaux",60
1900,"Japon","JP","Directs_globaux",130
1900,"Nouvelle-Zélande","NZ","Directs_globaux",15
1900,"Portugal","PT","Directs_globaux",61
1900,"Suède","SE","Directs_globaux",13
1900,"Suisse","CH","Résident_direct",65775
1900,"Suisse","CH","NonRésident_direct",605
1900,"Royaume-Uni","GB","Directs_globaux",16282
1900,"États-Unis d'Amérique","US","Directs_globaux",1754
1901,"Autriche","AT","Directs_globaux",10696
