//Dépôts de demandes de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type de déposant,Nombre de demandes
1896,"Hongrie","HU","NonRésident_direct",314
1896,"Italie","IT","Résident_direct",81
1896,"Italie","IT","NonRésident_direct",11
1896,"Japon","JP","Directs_globaux",300
1896,"Nouvelle-Zélande","NZ","Directs_globaux",27
1896,"Portugal","PT","Directs_globaux",160
1896,"Suisse","CH","Directs_globaux",45591
1896,"Royaume-Uni","GB","Directs_globaux",22849
1896,"États-Unis d'Amérique","US","Directs_globaux",1828
1897,"Belgique","BE","Directs_globaux",199
1897,"France","FR","Résident_direct",70696
1897,"France","FR","NonRésident_direct",3268
1897,"Allemagne","DE","Directs_globaux",112142
1897,"Hongrie","HU","Résident_direct",538
1897,"Hongrie","HU","NonRésident_direct",486
1897,"Italie","IT","Résident_direct",34
1897,"Italie","IT","NonRésident_direct",6
1897,"Japon","JP","Directs_globaux",320
1897,"Nouvelle-Zélande","NZ","Directs_globaux",13
1897,"Portugal","PT","Directs_globaux",189
1897,"Suisse","CH","Directs_globaux",27917
1897,"Royaume-Uni","GB","Directs_globaux",20417
1897,"États-Unis d'Amérique","US","Directs_globaux",2150
1898,"Autriche","AT","Directs_globaux",9871
1898,"Belgique","BE","Directs_globaux",203
1898,"France","FR","Résident_direct",68240
1898,"France","FR","NonRésident_direct",1947
1898,"Allemagne","DE","Directs_globaux",131154
1898,"Hongrie","HU","Résident_direct",525
1898,"Hongrie","HU","NonRésident_direct",291
1898,"Italie","IT","Résident_direct",169
1898,"Italie","IT","NonRésident_direct",32
1898,"Japon","JP","Directs_globaux",265
1898,"Nouvelle-Zélande","NZ","Directs_globaux",10
1898,"Portugal","PT","Directs_globaux",56
1898,"Suisse","CH","Directs_globaux",25234
1898,"Royaume-Uni","GB","Directs_globaux",20049
1898,"États-Unis d'Amérique","US","Directs_globaux",1843
1899,"Autriche","AT","Directs_globaux",10622
1899,"Belgique","BE","Directs_globaux",200
1899,"Canada","CA","Directs_globaux",116
1899,"France","FR","Résident_direct",57216
1899,"France","FR","NonRésident_direct",1216
1899,"Allemagne","DE","Directs_globaux",123503
1899,"Hongrie","HU","Résident_direct",901
1899,"Hongrie","HU","NonRésident_direct",186
1899,"Italie","IT","Résident_direct",49
1899,"Italie","IT","NonRésident_direct",14
1899,"Japon","JP","Directs_globaux",342
1899,"Nouvelle-Zélande","NZ","Directs_globaux",13
1899,"Portugal","PT","Directs_globaux",42
1899,"Suisse","CH","Directs_globaux",35533
1899,"Royaume-Uni","GB","Directs_globaux",19495
1899,"États-Unis d'Amérique","US","Directs_globaux",2400
1900,"Autriche","AT","Directs_globaux",10865
1900,"Belgique","BE","Directs_globaux",167
1900,"France","FR","Résident_direct",50882
1900,"France","FR","NonRésident_direct",1129
1900,"Allemagne","DE","Directs_globaux",131666
1900,"Hongrie","HU","Résident_direct",350
1900,"Hongrie","HU","NonRésident_direct",176
1900,"Italie","IT","Directs_globaux",55
1900,"Japon","JP","Directs_globaux",397
1900,"Nouvelle-Zélande","NZ","Directs_globaux",15
1900,"Portugal","PT","Directs_globaux",53
1900,"Suède","SE","Directs_globaux",29
1900,"Suisse","CH","Directs_globaux",66428
1900,"Royaume-Uni","GB","Directs_globaux",16952
1900,"États-Unis d'Amérique","US","Directs_globaux",2225
1901,"Autriche","AT","Directs_globaux",10696
1901,"Belgique","BE","Directs_globaux",201
1901,"Canada","CA","Directs_globaux",158
1901,"France","FR","Directs_globaux",51629
1901,"Allemagne","DE","Directs_globaux",135994
1901,"Italie","IT","Directs_globaux",36
1901,"Japon","JP","Directs_globaux",514
1901,"Nouvelle-Zélande","NZ","Directs_globaux",18
1901,"Portugal","PT","Directs_globaux",12
1901,"Suède","SE","Directs_globaux",24
1901,"Suisse","CH","Directs_globaux",107472
1901,"Royaume-Uni","GB","Directs_globaux",16934
1901,"États-Unis d'Amérique","US","Directs_globaux",2361
1902,"Autriche","AT","Directs_globaux",13034
1902,"Belgique","BE","Directs_globaux",212
1902,"Canada","CA","Directs_globaux",152
1902,"France","FR","Résident_direct",58184
1902,"France","FR","NonRésident_direct",798
1902,"Allemagne","DE","Directs_globaux",160764
1902,"Hongrie","HU","Directs_globaux",1037
1902,"Italie","IT","Directs_globaux",55
1902,"Japon","JP","Directs_globaux",730
1902,"Mexique","MX","Directs_globaux",3
1902,"Nouvelle-Zélande","NZ","Directs_globaux",28
1902,"Portugal","PT","Directs_globaux",42
1902,"Espagne","ES","Directs_globaux",119
1902,"Suède","SE","Directs_globaux",33
1902,"Suisse","CH","Directs_globaux",149924
1902,"Royaume-Uni","GB","Directs_globaux",17825
1902,"États-Unis d'Amérique","US","Directs_globaux",1170
1903,"Autriche","AT","Directs_globaux",15942
1903,"Belgique","BE","Directs_globaux",215
1903,"Canada","CA","Directs_globaux",98
1903,"France","FR","Résident_direct",61766
1903,"France","FR","NonRésident_direct",1541
1903,"Allemagne","DE","Directs_globaux",171461
1903,"Hongrie","HU","Directs_globaux",1405
1903,"Italie","IT","Directs_globaux",129
1903,"Japon","JP","Directs_globaux",1181
1903,"Mexique","MX","Directs_globaux",4
1903,"Nouvelle-Zélande","NZ","Directs_globaux",26
1903,"Portugal","PT","Directs_globaux",39
1903,"Espagne","ES","Directs_globaux",205
1903,"Suède","SE","Directs_globaux",34
1903,"Suisse","CH","Directs_globaux",226933
1903,"Tunisie","TN","Directs_globaux",1
1903,"Royaume-Uni","GB","Directs_globaux",21104
1903,"États-Unis d'Amérique","US","Directs_globaux",770
1904,"Autriche","AT","Directs_globaux",17113
1904,"Belgique","BE","Directs_globaux",210
1904,"Canada","CA","Directs_globaux",156
1904,"Cuba","CU","Directs_globaux",6
1904,"France","FR","Résident_direct",61283
1904,"France","FR","NonRésident_direct",2904
1904,"Allemagne","DE","Directs_globaux",192352
1904,"Hongrie","HU","Directs_globaux",1191
1904,"Italie","IT","Directs_globaux",51
1904,"Japon","JP","Directs_globaux",1378
1904,"Mexique","MX","Directs_globaux",22
1904,"Nouvelle-Zélande","NZ","Directs_globaux",24
1904,"Portugal","PT","Directs_globaux",36
1904,"Espagne","ES","Directs_globaux",189
1904,"Suède","SE","Directs_globaux",32
1904,"Suisse","CH","Directs_globaux",254256
1904,"Royaume-Uni","GB","Directs_globaux",23531
1904,"États-Unis d'Amérique","US","Directs_globaux",818
1905,"Autriche","AT","Directs_globaux",14973
1905,"Belgique","BE","Directs_globaux",351
1905,"Danemark","DK","Directs_globaux",601
1905,"France","FR","Directs_globaux",51200
1905,"Allemagne","DE","Directs_globaux",211398
1905,"Hongrie","HU","Directs_globaux",1245
1905,"Italie","IT","Directs_globaux",98
1905,"Japon","JP","Directs_globaux",1562
1905,"Mexique","MX","Directs_globaux",65
1905,"Nouvelle-Zélande","NZ","Directs_globaux",54
1905,"Portugal","PT","Directs_globaux",29
1905,"Espagne","ES","Directs_globaux",177
1905,"Suède","SE","Directs_globaux",20
1905,"Suisse","CH","Directs_globaux",243107
1905,"Royaume-Uni","GB","Directs_globaux",23938
1905,"États-Unis d'Amérique","US","Directs_globaux",781
1906,"Autriche","AT","Directs_globaux",14912
1906,"Belgique","BE","Directs_globaux",222
1906,"Danemark","DK","Directs_globaux",411
1906,"France","FR","Résident_direct",48859
1906,"France","FR","NonRésident_direct",3564
1906,"Allemagne","DE","Directs_globaux",213304
1906,"Hongrie","HU","Directs_globaux",2051
1906,"Italie","IT","Directs_globaux",115
1906,"Japon","JP","Directs_globaux",1532
1906,"Mexique","MX","Directs_globaux",31
1906,"Nouvelle-Zélande","NZ","Directs_globaux",36
1906,"Portugal","PT","Directs_globaux",40
1906,"Espagne","ES","Directs_globaux",254
1906,"Suède","SE","Directs_globaux",22
1906,"Suisse","CH","Directs_globaux",245840
1906,"Royaume-Uni","GB","Directs_globaux",22001
1906,"États-Unis d'Amérique","US","Directs_globaux",806
1907,"Australie","AU","Directs_globaux",176
1907,"Autriche","AT","Directs_globaux",13012
1907,"Belgique","BE","Directs_globaux",241
1907,"Danemark","DK","Directs_globaux",346
1907,"France","FR","Directs_globaux",56238
1907,"Allemagne","DE","Directs_globaux",220874
1907,"Hongrie","HU","Directs_globaux",1445
1907,"Italie","IT","Directs_globaux",115
1907,"Japon","JP","Directs_globaux",1438
1907,"Mexique","MX","Directs_globaux",56
1907,"Nouvelle-Zélande","NZ","Directs_globaux",57
1907,"Portugal","PT","Directs_globaux",33
1907,"Espagne","ES","Directs_globaux",196
1907,"Suède","SE","Directs_globaux",30
1907,"Suisse","CH","Directs_globaux",272773
1907,"Royaume-Uni","GB","Directs_globaux",24928
1907,"États-Unis d'Amérique","US","Directs_globaux",896
1908,"Australie","AU","Directs_globaux",154
1908,"Autriche","AT","Directs_globaux",11980
1908,"Belgique","BE","Directs_globaux",303
1908,"Danemark","DK","Directs_globaux",415
1908,"France","FR","Résident_direct",54754
1908,"France","FR","NonRésident_direct",3729
1908,"Allemagne","DE","Directs_globaux",217750
1908,"Hongrie","HU","Directs_globaux",12116
1908,"Italie","IT","Directs_globaux",83
1908,"Japon","JP","Directs_globaux",1623
1908,"Mexique","MX","Directs_globaux",40
1908,"Nouvelle-Zélande","NZ","Directs_globaux",79
1908,"Portugal","PT","Directs_globaux",22
1908,"Espagne","ES","Directs_globaux",204
1908,"Suède","SE","Directs_globaux",47
1908,"Suisse","CH","Directs_globaux",305577
1908,"Royaume-Uni","GB","Directs_globaux",24907
1908,"États-Unis d'Amérique","US","Directs_globaux",1131
1909,"Australie","AU","Directs_globaux",186
1909,"Autriche","AT","Directs_globaux",12241
1909,"Belgique","BE","Directs_globaux",316
1909,"Cuba","CU","Directs_globaux",1
1909,"Danemark","DK","Directs_globaux",505
1909,"France","FR","Résident_direct",59267
1909,"France","FR","NonRésident_direct",5901
1909,"Allemagne","DE","Directs_globaux",221991
1909,"Hongrie","HU","Directs_globaux",1536
1909,"Italie","IT","Directs_globaux",100
1909,"Japon","JP","Directs_globaux",1718
1909,"Mexique","MX","Directs_globaux",75
1909,"Nouvelle-Zélande","NZ","Directs_globaux",57
1909,"Portugal","PT","Directs_globaux",21
1909,"Espagne","ES","Directs_globaux",176
1909,"Suède","SE","Directs_globaux",25
1909,"Suisse","CH","Directs_globaux",322046
1909,"Royaume-Uni","GB","Directs_globaux",26412
1909,"États-Unis d'Amérique","US","Directs_globaux",1234
1910,"Australie","AU","Directs_globaux",187
1910,"Autriche","AT","Directs_globaux",12451
1910,"Belgique","BE","Directs_globaux",340
1910,"Danemark","DK","Directs_globaux",659
1910,"France","FR","Résident_direct",50421
1910,"France","FR","NonRésident_direct",2188
1910,"Allemagne","DE","Directs_globaux",206730
1910,"Hongrie","HU","Directs_globaux",1287
1910,"Italie","IT","Directs_globaux",111
1910,"Japon","JP","Directs_globaux",2240
1910,"Mexique","MX","Directs_globaux",73
1910,"Nouvelle-Zélande","NZ","Directs_globaux",50
1910,"Portugal","PT","Directs_globaux",29
1910,"Espagne","ES","Directs_globaux",183
1910,"Suède","SE","Directs_globaux",41
1910,"Suisse","CH","Directs_globaux",309752
1910,"Royaume-Uni","GB","Directs_globaux",32745
1910,"États-Unis d'Amérique","US","Directs_globaux",1155
1911,"Australie","AU","Directs_globaux",203
1911,"Autriche","AT","Directs_globaux",12432
1911,"Belgique","BE","Directs_globaux",363
1911,"Cuba","CU","Directs_globaux",20
1911,"Danemark","DK","Directs_globaux",573
1911,"France","FR","Résident_direct",52002
1911,"France","FR","NonRésident_direct",1852
1911,"Allemagne","DE","Directs_globaux",193861
1911,"Hongrie","HU","Directs_globaux",926
1911,"Italie","IT","Directs_globaux",163
1911,"Japon","JP","Directs_globaux",2254
1911,"Mexique","MX","Directs_globaux",69
1911,"Nouvelle-Zélande","NZ","Directs_globaux",21
1911,"Norvège","NO","Directs_globaux",317
1911,"Portugal","PT","Directs_globaux",36
1911,"Espagne","ES","Directs_globaux",381
1911,"Suède","SE","Directs_globaux",36
1911,"Suisse","CH","Directs_globaux",341597
1911,"Tunisie","TN","Directs_globaux",28
1911,"Royaume-Uni","GB","Directs_globaux",43057
1911,"États-Unis d'Amérique","US","Directs_globaux",1534
1912,"Australie","AU","Directs_globaux",245
1912,"Autriche","AT","Directs_globaux",12638
1912,"Belgique","BE","Directs_globaux",404
1912,"Danemark","DK","Directs_globaux",888
1912,"France","FR","Résident_direct",53317
1912,"France","FR","NonRésident_direct",2567
1912,"Allemagne","DE","Directs_globaux",174966
1912,"Hongrie","HU","Directs_globaux",12896
1912,"Italie","IT","Directs_globaux",208
1912,"Japon","JP","Directs_globaux",2420
1912,"Mexique","MX","Directs_globaux",26
1912,"Nouvelle-Zélande","NZ","Directs_globaux",44
1912,"Norvège","NO","Directs_globaux",230
1912,"Portugal","PT","Directs_globaux",30
1912,"Espagne","ES","Directs_globaux",171
1912,"Suède","SE","Directs_globaux",34
1912,"Suisse","CH","Directs_globaux",342586
1912,"Tunisie","TN","Directs_globaux",34
1912,"Royaume-Uni","GB","Directs_globaux",43015
1912,"États-Unis d'Amérique","US","Directs_globaux",1850
1913,"Australie","AU","Directs_globaux",301
1913,"Autriche","AT","Directs_globaux",13269
1913,"Belgique","BE","Directs_globaux",394
1913,"Cuba","CU","Directs_globaux",9
1913,"Danemark","DK","Directs_globaux",869
1913,"France","FR","Résident_direct",51803
1913,"France","FR","NonRésident_direct",1910
1913,"Allemagne","DE","Directs_globaux",183426
1913,"Hongrie","HU","Directs_globaux",13170
1913,"Italie","IT","Directs_globaux",171
1913,"Japon","JP","Directs_globaux",3103
1913,"Nouvelle-Zélande","NZ","Directs_globaux",64
1913,"Norvège","NO","Directs_globaux",236
1913,"Portugal","PT","Directs_globaux",51
1913,"Espagne","ES","Directs_globaux",222
1913,"Suède","SE","Directs_globaux",28
1913,"Suisse","CH","Directs_globaux",483648
1913,"Tunisie","TN","Directs_globaux",47
1913,"Royaume-Uni","GB","Directs_globaux",40429
1913,"États-Unis d'Amérique","US","Directs_globaux",2060
1914,"Australie","AU","Directs_globaux",267
1914,"Autriche","AT","Directs_globaux",11004
1914,"Belgique","BE","Directs_globaux",421
1914,"Cuba","CU","Directs_globaux",30
1914,"Danemark","DK","Directs_globaux",621
1914,"France","FR","Résident_direct",30458
1914,"France","FR","NonRésident_direct",1063
1914,"Allemagne","DE","Directs_globaux",131755
1914,"Hongrie","HU","Directs_globaux",10898
1914,"Italie","IT","Directs_globaux",255
1914,"Japon","JP","Directs_globaux",3868
1914,"Nouvelle-Zélande","NZ","Directs_globaux",55
1914,"Norvège","NO","Directs_globaux",286
1914,"Portugal","PT","Directs_globaux",70
1914,"Espagne","ES","Directs_globaux",205
1914,"Suède","SE","Directs_globaux",43
1914,"Suisse","CH","Directs_globaux",423145
1914,"Tunisie","TN","Directs_globaux",9
1914,"Royaume-Uni","GB","Directs_globaux",34354
1914,"États-Unis d'Amérique","US","Directs_globaux",2454
1915,"Australie","AU","Directs_globaux",326
1915,"Autriche","AT","Directs_globaux",4421
1915,"Belgique","BE","Directs_globaux",188
1915,"Danemark","DK","Directs_globaux",944
1915,"France","FR","Résident_direct",9945
1915,"France","FR","NonRésident_direct",68
1915,"Hongrie","HU","Directs_globaux",4585
1915,"Italie","IT","Directs_globaux",128
1915,"Japon","JP","Directs_globaux",3662
1915,"Mexique","MX","Directs_globaux",6
1915,"Nouvelle-Zélande","NZ","Directs_globaux",89
1915,"Norvège","NO","Directs_globaux",239
1915,"Portugal","PT","Directs_globaux",78
1915,"Espagne","ES","Directs_globaux",275
1915,"Suède","SE","Directs_globaux",51
1915,"Suisse","CH","Directs_globaux",353339
1915,"Tunisie","TN","Résident_direct",2
1915,"Royaume-Uni","GB","Directs_globaux",18130
1915,"États-Unis d'Amérique","US","Directs_globaux",2734
1916,"Australie","AU","Directs_globaux",298
1916,"Autriche","AT","Directs_globaux",3307
1916,"Belgique","BE","Directs_globaux",144
1916,"Danemark","DK","Directs_globaux",491
1916,"France","FR","Résident_direct",11805
1916,"France","FR","NonRésident_direct",91
1916,"Allemagne","DE","Directs_globaux",29981
1916,"Hongrie","HU","Directs_globaux",3371
1916,"Italie","IT","Directs_globaux",50
1916,"Japon","JP","Directs_globaux",3109
1916,"Mexique","MX","Directs_globaux",19
1916,"Nouvelle-Zélande","NZ","Directs_globaux",113
1916,"Norvège","NO","Directs_globaux",176
1916,"Portugal","PT","Directs_globaux",63
1916,"Espagne","ES","Directs_globaux",236
1916,"Suède","SE","Directs_globaux",47
1916,"Suisse","CH","Directs_globaux",398296
1916,"Tunisie","TN","Directs_globaux",5
1916,"Royaume-Uni","GB","Directs_globaux",15399
1916,"États-Unis d'Amérique","US","Directs_globaux",2684
1917,"Australie","AU","Directs_globaux",266
1917,"Autriche","AT","Directs_globaux",2303
1917,"Belgique","BE","Directs_globaux",135
1917,"Danemark","DK","Directs_globaux",722
1917,"France","FR","Résident_direct",9522
1917,"France","FR","NonRésident_direct",109
1917,"Allemagne","DE","Directs_globaux",10327
1917,"Hongrie","HU","Directs_globaux",2472
1917,"Italie","IT","Directs_globaux",103
1917,"Japon","JP","Directs_globaux",2763
1917,"Mexique","MX","Directs_globaux",31
1917,"Nouvelle-Zélande","NZ","Directs_globaux",83
1917,"Norvège","NO","Directs_globaux",187
1917,"Portugal","PT","Directs_globaux",56
1917,"Espagne","ES","Résident_direct",33
1917,"Espagne","ES","NonRésident_direct",347
1917,"Suède","SE","Directs_globaux",33
1917,"Suisse","CH","Directs_globaux",250756
1917,"Tunisie","TN","Directs_globaux",7
1917,"Royaume-Uni","GB","Directs_globaux",13208
1917,"États-Unis d'Amérique","US","Directs_globaux",2545
1918,"Australie","AU","Directs_globaux",262
1918,"Autriche","AT","Directs_globaux",2076
1918,"Belgique","BE","Directs_globaux",62
1918,"Cuba","CU","Directs_globaux",6
1918,"Danemark","DK","Directs_globaux",1018
1918,"France","FR","Résident_direct",6486
1918,"France","FR","NonRésident_direct",46
1918,"Allemagne","DE","Directs_globaux",7650
1918,"Hongrie","HU","Directs_globaux",1926
1918,"Italie","IT","Directs_globaux",116
1918,"Japon","JP","Directs_globaux",2673
1918,"Mexique","MX","Directs_globaux",36
1918,"Nouvelle-Zélande","NZ","Directs_globaux",53
1918,"Norvège","NO","Directs_globaux",312
1918,"Portugal","PT","Directs_globaux",51
1918,"Espagne","ES","Directs_globaux",171
1918,"Suède","SE","Directs_globaux",46
1918,"Suisse","CH","Directs_globaux",178390
1918,"Tunisie","TN","Directs_globaux",9
1918,"Royaume-Uni","GB","Directs_globaux",10019
1918,"États-Unis d'Amérique","US","Directs_globaux",2234
1919,"Australie","AU","Directs_globaux",256
1919,"Autriche","AT","Directs_globaux",1876
1919,"Belgique","BE","Directs_globaux",206
1919,"Danemark","DK","Directs_globaux",678
1919,"France","FR","Résident_direct",13298
1919,"France","FR","NonRésident_direct",195
1919,"Allemagne","DE","Directs_globaux",16195
1919,"Hongrie","HU","Directs_globaux",102
1919,"Italie","IT","Directs_globaux",174
1919,"Japon","JP","Directs_globaux",3011
1919,"Mexique","MX","Directs_globaux",49
1919,"Maroc","MA","Directs_globaux",3
1919,"Nouvelle-Zélande","NZ","Directs_globaux",73
1919,"Norvège","NO","Directs_globaux",299
1919,"Pologne","PL","Directs_globaux",147
1919,"Portugal","PT","Directs_globaux",55
1919,"Espagne","ES","Directs_globaux",199
1919,"Suède","SE","Directs_globaux",53
1919,"Suisse","CH","Directs_globaux",181603
1919,"Tunisie","TN","Directs_globaux",3
1919,"Royaume-Uni","GB","Directs_globaux",14094
1919,"États-Unis d'Amérique","US","Directs_globaux",3627
1920,"Australie","AU","Directs_globaux",278
1920,"Autriche","AT","Directs_globaux",2130
1920,"Belgique","BE","Directs_globaux",349
1920,"Danemark","DK","Directs_globaux",776
1920,"France","FR","Résident_direct",19498
1920,"France","FR","NonRésident_direct",161
1920,"Allemagne","DE","Directs_globaux",24975
1920,"Hongrie","HU","Directs_globaux",448
1920,"Italie","IT","Directs_globaux",155
1920,"Japon","JP","Directs_globaux",2776
1920,"Mexique","MX","Directs_globaux",72
1920,"Maroc","MA","Directs_globaux",3
1920,"Norvège","NO","Directs_globaux",331
1920,"Pologne","PL","Directs_globaux",194
1920,"Portugal","PT","Directs_globaux",49
1920,"Espagne","ES","Directs_globaux",168
1920,"Suède","SE","Directs_globaux",54
1920,"Suisse","CH","Directs_globaux",252868
1920,"Tunisie","TN","Directs_globaux",7
1920,"Royaume-Uni","GB","Directs_globaux",13669
1920,"États-Unis d'Amérique","US","Directs_globaux",4660
1921,"Australie","AU","Directs_globaux",356
1921,"Autriche","AT","Directs_globaux",2680
1921,"Belgique","BE","Directs_globaux",351
1921,"Canada","CA","Directs_globaux",316
1921,"Danemark","DK","Directs_globaux",915
1921,"France","FR","Résident_direct",13154
1921,"France","FR","NonRésident_direct",155
1921,"Allemagne","DE","Directs_globaux",38310
1921,"Hongrie","HU","Directs_globaux",336
1921,"Italie","IT","Directs_globaux",263
1921,"Japon","JP","Directs_globaux",2785
1921,"Mexique","MX","Directs_globaux",61
1921,"Maroc","MA","Directs_globaux",2
1921,"Nouvelle-Zélande","NZ","Directs_globaux",141
1921,"Norvège","NO","Directs_globaux",322
1921,"Pologne","PL","Directs_globaux",202
1921,"Portugal","PT","Directs_globaux",98
1921,"Espagne","ES","Directs_globaux",256
