//Industrial Design registrations by Office,
"//by direct resident, direct non-resident and designations via the Hague system",
//Source: WIPO Statistics Database, December 2011
//Note: Data are missing for some offices and years.,

Year,Office Name,Office Code,Registrant Type,Number of Registrations
1897,"Italy","IT","Direct_Resident",34
1897,"Italy","IT","Direct_NonResident",6
1897,"Japan","JP","Direct_Aggregate",60
1897,"Portugal","PT","Direct_Aggregate",167
1897,"Switzerland","CH","Direct_Resident",27700
1897,"Switzerland","CH","Direct_NonResident",200
1897,"United Kingdom","GB","Direct_Aggregate",19140
1897,"United States of America","US","Direct_Aggregate",1620
1898,"Austria","AT","Direct_Aggregate",9871
1898,"Belgium","BE","Direct_Aggregate",203
1898,"Canada","CA","Direct_Aggregate",136
1898,"France","FR","Direct_Resident",68240
1898,"France","FR","Direct_NonResident",1947
1898,"Germany","DE","Direct_Aggregate",131154
1898,"Italy","IT","Direct_Resident",169
1898,"Italy","IT","Direct_NonResident",32
1898,"Japan","JP","Direct_Aggregate",52
1898,"Portugal","PT","Direct_Aggregate",49
1898,"Switzerland","CH","Direct_Resident",24774
1898,"Switzerland","CH","Direct_NonResident",445
1898,"United Kingdom","GB","Direct_Aggregate",19171
1898,"United States of America","US","Direct_Aggregate",1799
1899,"Austria","AT","Direct_Aggregate",10622
1899,"Belgium","BE","Direct_Aggregate",200
1899,"Canada","CA","Direct_Aggregate",112
1899,"France","FR","Direct_Resident",57216
1899,"France","FR","Direct_NonResident",1216
1899,"Germany","DE","Direct_Aggregate",123503
1899,"Italy","IT","Direct_Aggregate",62
1899,"Japan","JP","Direct_Aggregate",139
1899,"New Zealand","NZ","Direct_Aggregate",13
1899,"Portugal","PT","Direct_Aggregate",31
1899,"Switzerland","CH","Direct_Resident",35310
1899,"Switzerland","CH","Direct_NonResident",195
1899,"United Kingdom","GB","Direct_Aggregate",18470
1899,"United States of America","US","Direct_Aggregate",2137
1900,"Austria","AT","Direct_Aggregate",10865
1900,"Belgium","BE","Direct_Aggregate",167
1900,"Canada","CA","Direct_Aggregate",126
1900,"France","FR","Direct_Resident",50882
1900,"France","FR","Direct_NonResident",1129
1900,"Germany","DE","Direct_Aggregate",131666
1900,"Hungary","HU","Direct_Resident",102
1900,"Hungary","HU","Direct_NonResident",24
1900,"Italy","IT","Direct_Aggregate",60
1900,"Japan","JP","Direct_Aggregate",130
1900,"New Zealand","NZ","Direct_Aggregate",15
1900,"Portugal","PT","Direct_Aggregate",61
1900,"Sweden","SE","Direct_Aggregate",13
1900,"Switzerland","CH","Direct_Resident",65775
1900,"Switzerland","CH","Direct_NonResident",605
1900,"United Kingdom","GB","Direct_Aggregate",16282
1900,"United States of America","US","Direct_Aggregate",1754
1901,"Austria","AT","Direct_Aggregate",10696
1901,"Belgium","BE","Direct_Aggregate",201
1901,"Canada","CA","Direct_Aggregate",146
1901,"France","FR","Direct_Aggregate",51629
1901,"Germany","DE","Direct_Aggregate",135994
1901,"Italy","IT","Direct_Aggregate",26
1901,"Japan","JP","Direct_Aggregate",141
1901,"New Zealand","NZ","Direct_Aggregate",18
1901,"Portugal","PT","Direct_Aggregate",20
1901,"Sweden","SE","Direct_Aggregate",20
1901,"Switzerland","CH","Direct_Aggregate",107279
1901,"United Kingdom","GB","Direct_Aggregate",16217
1901,"United States of America","US","Direct_Aggregate",1729
1902,"Austria","AT","Direct_Aggregate",13034
1902,"Belgium","BE","Direct_Aggregate",212
1902,"Canada","CA","Direct_Aggregate",164
1902,"France","FR","Direct_Aggregate",58982
1902,"Germany","DE","Direct_Aggregate",160764
