//Solicitudes de registro de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo de solicitante,Número de solicitudes
1896,"Francia","FR","Directamente_NOresidentes",3761
1896,"Alemania","DE","Directamente total",114570
1896,"Hungría","HU","Directamente_residentes",782
1896,"Hungría","HU","Directamente_NOresidentes",314
1896,"Italia","IT","Directamente_residentes",81
1896,"Italia","IT","Directamente_NOresidentes",11
1896,"Japón","JP","Directamente total",300
1896,"Nueva Zelandia","NZ","Directamente total",27
1896,"Portugal","PT","Directamente total",160
1896,"Suiza","CH","Directamente total",45591
1896,"Reino Unido","GB","Directamente total",22849
1896,"Estados Unidos de América","US","Directamente total",1828
1897,"Bélgica","BE","Directamente total",199
1897,"Francia","FR","Directamente_residentes",70696
1897,"Francia","FR","Directamente_NOresidentes",3268
1897,"Alemania","DE","Directamente total",112142
1897,"Hungría","HU","Directamente_residentes",538
1897,"Hungría","HU","Directamente_NOresidentes",486
1897,"Italia","IT","Directamente_residentes",34
1897,"Italia","IT","Directamente_NOresidentes",6
1897,"Japón","JP","Directamente total",320
1897,"Nueva Zelandia","NZ","Directamente total",13
1897,"Portugal","PT","Directamente total",189
1897,"Suiza","CH","Directamente total",27917
1897,"Reino Unido","GB","Directamente total",20417
1897,"Estados Unidos de América","US","Directamente total",2150
1898,"Austria","AT","Directamente total",9871
1898,"Bélgica","BE","Directamente total",203
1898,"Francia","FR","Directamente_residentes",68240
1898,"Francia","FR","Directamente_NOresidentes",1947
1898,"Alemania","DE","Directamente total",131154
1898,"Hungría","HU","Directamente_residentes",525
1898,"Hungría","HU","Directamente_NOresidentes",291
1898,"Italia","IT","Directamente_residentes",169
1898,"Italia","IT","Directamente_NOresidentes",32
1898,"Japón","JP","Directamente total",265
1898,"Nueva Zelandia","NZ","Directamente total",10
1898,"Portugal","PT","Directamente total",56
1898,"Suiza","CH","Directamente total",25234
1898,"Reino Unido","GB","Directamente total",20049
1898,"Estados Unidos de América","US","Directamente total",1843
1899,"Austria","AT","Directamente total",10622
1899,"Bélgica","BE","Directamente total",200
1899,"Canadá","CA","Directamente total",116
1899,"Francia","FR","Directamente_residentes",57216
1899,"Francia","FR","Directamente_NOresidentes",1216
1899,"Alemania","DE","Directamente total",123503
1899,"Hungría","HU","Directamente_residentes",901
1899,"Hungría","HU","Directamente_NOresidentes",186
1899,"Italia","IT","Directamente_residentes",49
1899,"Italia","IT","Directamente_NOresidentes",14
1899,"Japón","JP","Directamente total",342
1899,"Nueva Zelandia","NZ","Directamente total",13
1899,"Portugal","PT","Directamente total",42
1899,"Suiza","CH","Directamente total",35533
1899,"Reino Unido","GB","Directamente total",19495
1899,"Estados Unidos de América","US","Directamente total",2400
1900,"Austria","AT","Directamente total",10865
1900,"Bélgica","BE","Directamente total",167
1900,"Francia","FR","Directamente_residentes",50882
1900,"Francia","FR","Directamente_NOresidentes",1129
1900,"Alemania","DE","Directamente total",131666
1900,"Hungría","HU","Directamente_residentes",350
1900,"Hungría","HU","Directamente_NOresidentes",176
1900,"Italia","IT","Directamente total",55
1900,"Japón","JP","Directamente total",397
1900,"Nueva Zelandia","NZ","Directamente total",15
1900,"Portugal","PT","Directamente total",53
1900,"Suecia","SE","Directamente total",29
1900,"Suiza","CH","Directamente total",66428
1900,"Reino Unido","GB","Directamente total",16952
1900,"Estados Unidos de América","US","Directamente total",2225
1901,"Austria","AT","Directamente total",10696
1901,"Bélgica","BE","Directamente total",201
1901,"Canadá","CA","Directamente total",158
1901,"Francia","FR","Directamente total",51629
1901,"Alemania","DE","Directamente total",135994
1901,"Italia","IT","Directamente total",36
1901,"Japón","JP","Directamente total",514
1901,"Nueva Zelandia","NZ","Directamente total",18
1901,"Portugal","PT","Directamente total",12
1901,"Suecia","SE","Directamente total",24
1901,"Suiza","CH","Directamente total",107472
1901,"Reino Unido","GB","Directamente total",16934
1901,"Estados Unidos de América","US","Directamente total",2361
1902,"Austria","AT","Directamente total",13034
1902,"Bélgica","BE","Directamente total",212
1902,"Canadá","CA","Directamente total",152
1902,"Francia","FR","Directamente_residentes",58184
1902,"Francia","FR","Directamente_NOresidentes",798
1902,"Alemania","DE","Directamente total",160764
1902,"Hungría","HU","Directamente total",1037
1902,"Italia","IT","Directamente total",55
1902,"Japón","JP","Directamente total",730
1902,"México","MX","Directamente total",3
1902,"Nueva Zelandia","NZ","Directamente total",28
1902,"Portugal","PT","Directamente total",42
1902,"España","ES","Directamente total",119
1902,"Suecia","SE","Directamente total",33
1902,"Suiza","CH","Directamente total",149924
1902,"Reino Unido","GB","Directamente total",17825
1902,"Estados Unidos de América","US","Directamente total",1170
