Utility model grants by patent office and country of origin (1883-1979),,,,,,,,,
"Source: WIPO Statistics Database, October 2015",,,,,,,,,
Note: Counts are based on the grant date.,,,,,,,,,
,,,,,,,,,
Modèles d'utilités délivrés par office de brevets et origine (1883-1979),,,,,,,,,
"Source: base de données statistique de l'OMPI, octobre 2015",,,,,,,,,
Note: le comptage se fait en utilisant la date de délivrance.  ,,,,,,,,,
,,,,,,,,,
"Modelos de utilidad concedidas, por oficina de patentes y origen (1883-1979)",,,,,,,,,
"Fuente: Base de datos de estadísticas de la OMPI, octubre 2015",,,,,,,,,
Nota: Los totales se calculan en base al ano calendario. ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
grant_year,office_code,office_name,office_nom,office_monbre,origin_code,origin_name,origine_nom,origen_nombre,grants
1978,PL,Poland,Pologne,Polonia,XX,Unknown,Inconnu,Desconocido,15
1978,PT,Portugal,Portugal,Portugal,PT,Portugal,Portugal,Portugal,97
1978,PT,Portugal,Portugal,Portugal,XX,Unknown,Inconnu,Desconocido,12
1979,BR,Brazil,Brésil,Brasil,BR,Brazil,Brésil,Brasil,65
1979,BR,Brazil,Brésil,Brasil,XX,Unknown,Inconnu,Desconocido,12
1979,DE,Germany,Allemagne,Alemania,DE,Germany,Allemagne,Alemania,11643
1979,DE,Germany,Allemagne,Alemania,XX,Unknown,Inconnu,Desconocido,2011
1979,ES,Spain,Espagne,España,ES,Spain,Espagne,España,4428
1979,ES,Spain,Espagne,España,XX,Unknown,Inconnu,Desconocido,927
1979,JP,Japan,Japon,Japón,JP,Japan,Japon,Japón,43834
1979,JP,Japan,Japon,Japón,XX,Unknown,Inconnu,Desconocido,766
1979,KR,Republic of Korea,République de Corée,República de Corea,KR,Republic of Korea,République de Corée,República de Corea,1556
1979,KR,Republic of Korea,République de Corée,República de Corea,XX,Unknown,Inconnu,Desconocido,225
1979,PH,Philippines,Philippines,Filipinas,PH,Philippines,Philippines,Filipinas,465
1979,PH,Philippines,Philippines,Filipinas,XX,Unknown,Inconnu,Desconocido,3
1979,PL,Poland,Pologne,Polonia,PL,Poland,Pologne,Polonia,1420
1979,PL,Poland,Pologne,Polonia,XX,Unknown,Inconnu,Desconocido,10
1979,PT,Portugal,Portugal,Portugal,PT,Portugal,Portugal,Portugal,53
1979,PT,Portugal,Portugal,Portugal,XX,Unknown,Inconnu,Desconocido,12
