Intellectual property right :Total applications

Source: WIPO statistics database. Last updated: February 2023

Office,Office,Origin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021

"Industrial design (design count)","World","Total","1258600","1286800","1189100","1202500","1286200","1277300","1343800","1361000","1387800","1515200",
"Patent","World","Total","2356500","2564100","2679900","2886200","3125000","3169000","3332600","3232800","3281900","3401100",
"Trademark (class count)","World","Total","6655900","7082500","7659700","8651500","9775600","12380100","14308600","15128100","17193800","18145100",
"Utility model","World","Total","828200","978820","949200","1205820","1553560","1761410","2146120","2341120","3000100","2924490",
